HGNC.symbol,UniProt.Ac
PRMT7,Q9NVM4
PAK1IP1,Q9NWT1
SP110,Q9HB58
C17orf51,A8MQB3
HBG1,P69891
PLEKHG3,A1L390
HIST1H4A,P62805
DSG3,P32926
C16orf92,Q96LL3
SEC14L4,Q9UDX3
GINS4,Q9BRT9
NUMBL,Q9Y6R0
MPC1,Q9Y5U8
ELAVL2,Q12926
POU3F3,P20264
HIST1H4B,P62805
ZNF165,P49910
ZNF221,Q9UK13
MMP17,Q9ULZ9
GNPTG,Q9UJJ9
SPNS2,Q8IVW8
GTF2H2C,Q6P1K8
CDR2L,Q86X02
ETS2,P15036
FDXACB1,Q9BRP7
RNF8,O76064
RFTN2,Q52LD8
GP1BB,P13224
ZNF277,Q9NRM2
RASSF4,Q9H2L5
HIST1H3B,P68431
ZSCAN16,Q9H4T2
TMEM167A,Q8TBQ9
SLFN11,Q7Z7L1
NME1,P15531
PRSS58,Q8IYP2
IZUMO3,Q5VZ72
GPR123,Q86SQ6
FAM57B,Q71RH2
CTSK,P43235
NT5DC4,Q86YG4
C6orf136,Q5SQH8
SHPRH,Q149N8
SEC14L6,B5MCN3
TUSC1,Q2TAM9
MRPS9,P82933
SCNN1D,P51172
HIST1H2AB,P04908
TRIM24,O15164
RPL28,P46779
DSG2,Q14126
ZNF155,Q12901
FBLN2,P98095
RBCK1,Q9BYM8
TRIQK,Q629K1
SENP6,Q9GZR1
ADAMTS13,Q76LX8
LIMD2,Q9BT23
BFSP2,Q13515
CCDC172,P0C7W6
TOMM6,Q96B49
TBX1,O43435
NR2C2AP,Q86WQ0
ELOVL6,Q9H5J4
HIST1H2BB,P33778
ICT1,Q14197
BRPF1,P55201
CAAP1,Q9H8G2
AHSA1,O95433
ZC3H10,Q96K80
LRFN4,Q6PJG9
TULP1,O00294
HMGB2,P26583
TTR,P02766
C11orf86,A6NJI1
UNKL,Q9H9P5
LECT2,O14960
IFT172,Q9UG01
SAP30,O75446
USP49,Q70CQ1
TMEM14C,Q9P0S9
AIFM2,Q9BRQ8
TRAFD1,O14545
FOXK1,P85037
AVEN,Q9NQS1
GPR116,Q8IZF2
MAGED4,Q96JG8
HBG2,P69892
GCNT3,O95395
RAD9B,Q6WBX8
ZBTB20,Q9HC78
GRHL3,Q8TE85
LTBP3,Q9NS15
MTRNR2L1,P0CJ68
NPLOC4,Q8TAT6
PSMG1,O95456
GAL3ST1,Q99999
EREG,O14944
NCAN,O14594
HECW1,Q76N89
NPRL2,Q8WTW4
SYT12,Q8IV01
TAF9B,Q9HBM6
RANBP3L,Q86VV4
ITPRIPL1,Q6GPH6
ZNF230,Q9UIE0
PLCB4,Q15147
PPP1R1A,Q13522
HAPLN4,Q86UW8
HIST1H3C,P68431
B4GALT6,Q9UBX8
B3GNT5,Q9BYG0
AREG,P15514
C11orf1,Q9H5F2
RPS6KA2,Q15349
ATAD1,Q8NBU5
UQCRQ,O14949
NPHP1,O15259
QRSL1,Q9H0R6
GTF2A2,P52657
HIST1H1C,P16403
AP5Z1,O43299
HBE1,P02100
C16orf91,Q4G0I0
FGL2,Q14314
ALDOC,P09972
GNB1L,Q9BYB4
ARNTL,O00327
CHRM5,P08912
ARL17A,Q8IVW1
POU2F2,P09086
FAM198A,Q9UFP1
GTPBP2,Q9BX10
SEZ6,Q53EL9
LACRT,Q9GZZ8
C10orf10,Q9NTK1
CR1,P17927
CRYAB,P02511
ZNF222,Q9UK12
PLAA,Q9Y263
HAT1,O14929
POMGNT2,Q8NAT1
ZNF705A,Q6ZN79
OR51B4,Q9Y5P0
NAT1,P18440
LTB,Q06643
OR51B2,Q9Y5P1
CMTR1,Q8N1G2
EMC7,Q9NPA0
GRB2,P62993
C7orf33,Q8WU49
TM6SF2,Q9BZW4
SSSCA1,O60232
PDHA1,P08559
OR51B5,Q9H339
SLC25A52,Q3SY17
OR51B6,Q9H340
KCTD2,Q14681
LEAP2,Q969E1
KIN,O60870
KCNMB2,Q9Y691
CD6,P30203
CCDC154,A6NI56
MYBBP1A,Q9BQG0
PNLIPRP3,Q17RR3
WSB1,Q9Y6I7
SERF1B,O75920
ENPEP,Q07075
XIAP,P98170
FAM89B,Q8N5H3
ZNF223,Q9UK11
ISOC1,Q96CN7
TMCC1,O94876
HSPB2-C11orf52,Q16082
PTPRB,P23467
MARS2,Q96GW9
RNF145,Q96MT1
OR51M1,Q9H341
KNDC1,Q76NI1
OR51J1,Q9H342
DHX16,O60231
C11orf52,Q96A22
CHID1,Q9BWS9
OR51Q1,Q8NH59
C22orf29,Q7L3V2
CR1L,Q2VPA4
AREGB,P15514
OR51I1,Q9H343
MYLIP,Q8WY64
ANAPC5,Q9UJX4
ARHGAP26,Q9UNA1
OR51I2,Q9H344
GPR179,Q6PRD1
C8orf87,E5RJ46
OR52D1,Q9H346
ZNF638,Q14966
SCRG1,O75711
IFRD1,O00458
BNIP2,Q12982
ACAP3,Q96P50
SMPD3,Q9NY59
MMP21,Q8N119
PES1,O00541
POSTN,Q15063
MROH6,A6NGR9
SEPW1,P63302
STRADA,Q7RTN6
UBQLN3,Q9H347
TSSC4,Q9Y5U2
ATE1,O95260
ZNF479,Q96JC4
UBE2S,Q16763
CAPN14,A8MX76
NBEAL1,Q6ZS30
CKAP2L,Q8IYA6
C6orf203,Q9P0P8
HAND2,P61296
NAT2,P11245
SRP54,P61011
ARL6IP6,Q8N6S5
MED20,Q9H944
PCSK6,P29122
ZNF284,Q2VY69
ABCA8,O94911
SIX3,O95343
NCOA1,Q15788
LST1,O00453
STPG1,Q5TH74
DCD,P81605
SHISA7,A6NL88
UBQLNL,Q8IYU4
SEL1L3,Q68CR1
TSSK1B,Q9BXA7
OGG1,O15527
EHBP1L1,Q8N3D4
RADIL,Q96JH8
SOCS7,O14512
TPRX1,Q8N7U7
MIEN1,Q9BRT3
ZNF224,Q9NZL3
SIX2,Q9NPC8
CIB4,A0PJX0
CXCR2,P25025
OR52H1,Q8NGJ2
GMPR,P36959
UBLCP1,Q8WVY7
OR52B6,Q8NGF0
ZWILCH,Q9H900
UGP2,Q16851
RNASET2,O00584
DOK1,Q99704
ISOC2,Q96AB3
GSAP,A4D1B5
TSPAN10,Q9H1Z9
BEND3,Q5T5X7
CXCR1,P25024
TBC1D20,Q96BZ9
FBXO8,Q9NRD0
RHOD,O00212
SVOPL,Q8N434
SNRK,Q9NRH2
KCNK3,O14649
ZMAT3,Q9HA38
FOXB1,Q99853
SLC25A26,Q70HW3
CUTA,O60888
WNT7A,O00755
SPATA9,Q9BWV2
IFT74,Q96LB3
RPL38,P63173
TYSND1,Q2T9J0
BOLL,Q8N9W6
MAP3K15,Q6ZN16
AAK1,Q2M2I8
LXN,Q9BS40
SLC39A2,Q9NP94
DIXDC1,Q155Q3
FAM92A1,A1XBS5
ALDH5A1,P51649
GPR45,Q9Y5Y3
BTBD10,Q9BSF8
AFF4,Q9UHB7
ICK,Q9UPZ9
TCN2,P20062
CD5,P06127
PDSS2,Q86YH6
MUCL1,Q96DR8
LRRC19,Q9H756
CTC1,Q2NKJ3
TRIM6,Q9C030
NCR3,O14931
ZNF628,Q5EBL2
HFE,Q30201
CLCN7,P51798
SLFN12,Q8IYM2
SLC35E4,Q6ICL7
PSD3,Q9NYI0
NAT14,Q8WUY8
ARPC2,O15144
SLC35F6,Q8N357
LCTL,Q6UWM7
TRAPPC8,Q9Y2L5
UROS,P10746
CEP44,Q9C0F1
RPRM,Q9NS64
TGFBRAP1,Q8WUH2
IL12B,P29460
AGPAT6,Q86UL3
NAPRT1,Q6XQN6
DUSP18,Q8NEJ0
LRP1,Q07954
ADRA1B,P35368
YTHDC2,Q9H6S0
CRX,O43186
ULK1,O75385
PTX4,Q96A99
PGBD4,Q96DM1
VPS37C,A5D8V6
KDM2A,Q9Y2K7
PARM1,Q6UWI2
CAMK1,Q14012
XRCC4,Q13426
NEUROD1,Q13562
COMTD1,Q86VU5
TMTC3,Q6ZXV5
ZNF225,Q9UK10
KIAA1462,Q9P266
SLC8B1,Q6J4K2
CYSLTR1,Q9Y271
SUGP1,Q8IWZ8
HNRNPA3,P51991
SULT2A1,Q06520
ADAMTS19,Q8TE59
RARRES1,P49788
TTC1,Q99614
XAGE2B,Q96GT9
NME1-NME2,P22392
BSPH1,Q075Z2
TRPM5,Q9NZQ8
SMAD6,O43541
APBB1IP,Q7Z5R6
ZNF234,Q14588
ARHGAP23,Q9P227
ARMC8,Q8IUR7
ZCCHC5,Q8N8U3
FGFR1OP,O95684
CBX1,P83916
SPATA20,Q8TB22
CCNK,O75909
C10orf76,Q5T2E6
XAGE1B,Q9HD64
ELSPBP1,Q96BH3
ATP5H,O75947
SLC5A10,A0PJK1
PITX2,Q99697
KLHL6,Q8WZ60
NRD1,O43847
LAMP5,Q9UJQ1
NIPAL3,Q6P499
TRPC4,Q9UBN4
CENPA,P49450
SOBP,A7XYQ1
SSC5D,A1L4H1
ADCK4,Q96D53
TEK,Q02763
BRWD1,Q9NSI6
LPAR4,Q99677
PNLIP,P16233
PDZD2,O15018
SAR1A,Q9NR31
M1AP,Q8TC57
PTH,P01270
CCR6,P51684
KIAA1024L,P59773
PUSL1,Q8N0Z8
KATNBL1,Q9H079
TMEM14B,Q9NUH8
CCDC85C,A6NKD9
TGFBI,Q15582
KRT12,Q99456
ANO10,Q9NW15
TELO2,Q9Y4R8
KRT20,P35900
GPR110,Q5T601
CHSY3,Q70JA7
TSSC1,Q53HC9
SLC40A1,Q9NP59
TCP10L2,B9ZVM9
SPTB,P11277
P2RY10,O00398
TADA3,O75528
RHOBTB3,O94955
CSNK2A1,P68400
SRBD1,Q8N5C6
GAP43,P17677
SLFN13,Q68D06
GPR31,O00270
C10orf25,Q5T742
METAP1D,Q6UB28
ZFP90,Q8TF47
EQTN,Q9NQ60
CLASP1,Q7Z460
ZNF226,Q9NYT6
FAR1,Q8WVX9
ZNHIT3,Q15649
ALDOA,P04075
HINT1,P49773
PREX1,Q8TCU6
ACTR3,P61158
DLAT,P10515
NR3C1,P04150
GPR174,Q9BXC1
PGA3,P0DJD8
FAM90A1,Q86YD7
RCHY1,Q96PM5
MOB3B,Q86TA1
SPTAN1,Q13813
ESYT1,Q9BSJ8
CABP5,Q9NP86
RAB3B,P20337
DNAJC21,Q5F1R6
C2orf49,Q9BVC5
EIF1AY,O14602
OSBP2,Q969R2
SMN2,Q16637
IFNK,Q9P0W0
UNC93A,Q86WB7
TESPA1,A2RU30
EMC4,Q5J8M3
CCDC64,Q6ZP65
ADRBK1,P25098
SMAD3,P84022
SH2D4A,Q9H788
NME2,P22392
CLEC6A,Q6EIG7
STK17A,Q9UEE5
RCAN3,Q9UKA8
KLLN,B2CW77
TXNRD2,Q9NNW7
SBK2,P0C263
ARPC4,P59998
MAD2L1BP,Q15013
ARNT,P27540
PIK3CA,P42336
CDK5,Q00535
TTLL2,Q9BWV7
ITPKC,Q96DU7
NCMAP,Q5T1S8
ZNF22,P17026
ZNF579,Q8NAF0
UFM1,P61960
BYSL,Q13895
ASIC1,P78348
ITM2A,O43736
UBD,O15205
NCAPH,Q15003
OR13A1,Q8NGR1
SP140,Q13342
KCNQ1,P51787
CLEC4D,Q8WXI8
PDE6G,P18545
ATXN1,P54253
FIZ1,Q96SL8
HPGD,P15428
PIH1D2,Q8WWB5
RNF125,Q96EQ8
CUL1,Q13616
ZNF503,Q96F45
FAM177A1,Q8N128
UTF1,Q5T230
NKX6-3,A6NJ46
AP4M1,O00189
GRB7,Q14451
SSFA2,P28290
NSF,P46459
C19orf54,Q5BKX5
TCP10,Q12799
WDR34,Q96EX3
C9orf72,Q96LT7
SH3KBP1,Q96B97
VENTX,O95231
LYRM7,Q5U5X0
CDH3,P22223
DPYSL5,Q9BPU6
TXNDC12,O95881
FKBP5,Q13451
PLA2G4C,Q9UP65
NEDD4L,Q96PU5
CLEC4E,Q9ULY5
CDV3,Q9UKY7
LSMEM1,Q8N8F7
ZKSCAN8,Q15776
PTEN,P60484
C6orf123,Q9Y6Z2
LINGO2,Q7L985
CD46,P15529
TRIM34,Q9BYJ4
DEDD2,Q8WXF8
HMGN1,P05114
KTI12,Q96EK9
CSGALNACT1,Q8TDX6
SEMA4F,O95754
MIP,P30301
PAK7,Q9P286
IFT140,Q96RY7
RNF138,Q8WVD3
FBXO41,Q8TF61
PLCL1,Q15111
CYB561D2,O14569
ZNF558,Q96NG5
ISM2,Q6H9L7
SPRYD4,Q8WW59
COA1,Q9GZY4
SCML4,Q8N228
GALNT13,Q8IUC8
FREM2,Q5SZK8
PUS1,Q9Y606
ACTRT3,Q9BYD9
GALK1,P51570
CSRP2,Q16527
FHL2,Q14192
IL1A,P01583
PSMC3IP,Q9P2W1
PPTC7,Q8NI37
LSAMP,Q13449
MFSD1,Q9H3U5
BTF3L4,Q96K17
PGA4,P0DJD7
MBD3L1,Q8WWY6
SLC1A3,P43003
ZNF227,Q86WZ6
OXLD1,Q5BKU9
ARFGEF2,Q9Y6D5
STOML3,Q8TAV4
ANKEF1,Q9NU02
RSPH9,Q9H1X1
ZNF526,Q8TF50
MORC2,Q9Y6X9
CXorf23,A2AJT9
SRRM1,Q8IYB3
PWWP2A,Q96N64
CCDC137,Q6PK04
MAU2,Q9Y6X3
ZSCAN9,O15535
COMT,P21964
TMEM204,Q9BSN7
VARS,P26640
XAGE1A,Q9HD64
ALS2CR12,Q96Q35
KLHL24,Q6TFL4
GPBAR1,Q8TDU6
ZNF524,Q96C55
GGT6,Q6P531
ATP6V0A4,Q9HBG4
ZNF865,P0CJ78
HHIPL1,Q96JK4
ZNF784,Q8NCA9
HECTD4,Q9Y4D8
SLC16A5,O15375
SET,Q01105
TTYH2,Q9BSA4
WRB,O00258
NFE2L2,Q16236
ADAM8,P78325
AICDA,Q9GZX7
KCNMB3,Q9NPA1
ZNF580,Q9UK33
FABP6,P51161
C10orf11,Q9H2I8
PPA1,Q15181
TRH,P20396
ZNF581,Q9P0T4
TM2D3,Q9BRN9
PDSS1,Q5T2R2
SMTNL2,Q2TAL5
CCDC167,Q9P0B6
GSK3A,P49840
AAGAB,Q6PD74
TMEM115,Q12893
PROSER1,Q86XN7
OR1M1,Q8NGA1
OR7G2,Q8NG99
CD34,P28906
H3F3B,P84243
OR7G1,Q8NGA0
EHD3,Q9NZN3
OR7G3,Q8NG95
XAGE2,Q96GT9
AP2A2,O94973
ZFYVE9,O95405
RPS4Y2,Q8TD47
TOPBP1,Q92547
PTRHD1,Q6GMV3
ZNF732,B4DXR9
ACO1,P21399
C11orf57,Q6ZUT1
GLRX,P35754
ARID5A,Q03989
CDKN1C,P49918
CCDC106,Q9BWC9
ATP6V1G2,O95670
SPTLC2,O15270
MYNN,Q9NPC7
CYorf17,Q9H606
TRIM5,Q9C035
ZKSCAN4,Q969J2
CRAMP1L,Q96RY5
GLRA3,O75311
IL1B,P01584
NHLRC3,Q5JS37
TIMM8B,Q9Y5J9
ZNF317,Q96PQ6
SLFN12L,Q6IEE8
SLC22A18AS,Q8N1D0
MBTD1,Q05BQ5
VCAN,P13611
LHFP,Q9Y693
MDGA1,Q8NFP4
LCA5L,O95447
SYCP2L,Q5T4T6
CACFD1,Q9UGQ2
GLS2,Q9UI32
E2F7,Q96AV8
OR7D2,Q96RA2
OR7D4,Q8NG98
C9,P02748
CDH1,P12830
OR7E24,Q6IFN5
PKN3,Q6P5Z2
HPS6,Q86YV9
LRRC18,Q8N456
RBMY1B,A6NDE4
SETDB1,Q15047
TARSL2,A2RTX5
PPP2R3C,Q969Q6
SDHD,O14521
ERF,P50548
SNAP25,P60880
ZNF699,Q32M78
CENPO,Q9BU64
CCND3,P30281
ZNF235,Q14590
STMND1,H3BQB6
PFAS,O15067
ZNF85,Q03923
PGA5,P0DJD9
NSMCE4A,Q9NXX6
SNRPA,P09012
SMTN,P53814
TTLL3,Q9Y4R7
KIAA0195,Q12767
SEC63,Q9UGP8
MAP7D2,Q96T17
INTS10,Q9NVR2
LIG1,P18858
STARD9,Q9P2P6
XDH,P47989
VSTM4,Q8IW00
SH3BGR,P55822
DLX1,P56177
ZNF233,A6NK53
PTPN12,Q05209
HN1L,Q9H910
AAMP,Q13685
ZDHHC12,Q96GR4
LGI1,O95970
LRIG1,Q96JA1
MAT1A,Q00266
SLFN14,P0C7P3
ZNF559,Q9BR84
BLVRA,P53004
TMEM168,Q9H0V1
SLC22A18,Q96BI1
MTPAP,Q9NVV4
EEF1D,P29692
NKAPL,Q5M9Q1
B3GALT5,Q9Y2C3
ZNF112,Q9UJU3
CCNJL,Q8IV13
RNF34,Q969K3
IQCH,Q86VS3
ZCCHC10,Q8TBK6
LDB1,Q86U70
C21orf88,P59052
COG6,Q9Y2V7
SRCIN1,Q9C0H9
CC2D1B,Q5T0F9
XAGE1C,Q9HD64
PEX12,O00623
DDX58,O95786
COL6A5,A8TX70
U2AF2,P26368
ARVCF,O00192
PLXNA2,O75051
PGBD1,Q96JS3
CPSF3L,Q5TA45
DLX2,Q07687
GATAD2A,Q86YP4
C1QTNF2,Q9BXJ5
FBXO9,Q9UK97
ASNSD1,Q9NWL6
RBM24,Q9BX46
IGSF5,Q9NSI5
ABHD5,Q8WTS1
ARMC12,Q5T9G4
ARL16,Q0P5N6
CDC42SE2,Q9NRR3
TOPORS,Q9NS56
RPUSD3,Q6P087
KIAA0319,Q5VV43
EIF1AX,P47813
ZER1,Q7Z7L7
FOXO1,Q12778
PCP4,P48539
C5orf27,Q52M75
MYO19,Q96H55
TNFRSF21,O75509
MIA,Q16674
MRPS24,Q96EL2
NDUFB6,O95139
IGSF11,Q5DX21
PPP4C,P60510
EP400,Q96L91
KCNJ3,P48549
KSR1,Q8IVT5
ZSCAN31,Q96LW9
GVQW1,Q8N7I0
SP140L,Q9H930
SNX11,Q9Y5W9
CAMK1G,Q96NX5
MRPS31,Q92665
HTR7,P34969
KCNN2,Q9H2S1
CSE1L,P55060
TAF1L,Q8IZX4
TCTN1,Q2MV58
ZNF141,Q15928
FAM83G,A6ND36
TMEM215,Q68D42
ALOX15,P16050
NPFFR1,Q9GZQ6
VWCE,Q96DN2
ADAM29,Q9UKF5
CDAN1,Q8IWY9
TANGO6,Q9C0B7
C5orf54,Q8IZ13
DYDC1,Q8WWB3
KITLG,P21583
ALOX5,P09917
ELL2,O00472
ZNF721,Q8TF20
OR4F6,Q8NGB9
RAB4B,P61018
HK2,P52789
EZH2,Q15910
SLC2A6,Q9UGQ3
OR4F15,Q8NGB8
TRIM22,Q8IYM9
TMEM213,A2RRL7
RNLS,Q5VYX0
OR4F4,Q96R69
TSSK6,Q9BXA6
URGCP,Q8TCY9
ATP5C1,P36542
MYO18A,Q92614
FAM170B,A6NMN3
CIDEC,Q96AQ7
SLC25A15,Q9Y619
COPB1,P53618
NEUROD4,Q9HD90
KRT23,Q9C075
ALKBH1,Q13686
MLLT4,P55196
ADCY3,O60266
MRPS18A,Q9NVS2
GPM6A,P51674
TBC1D13,Q9NVG8
JAGN1,Q8N5M9
SLC12A6,Q9UHW9
HAS3,O00219
ORC1,Q13415
ZNF639,Q9UID6
ANXA2,P07355
TRAK2,O60296
ZNF285,Q96NJ3
EGR4,Q05215
MKKS,Q9NPJ1
ARMC7,Q9H6L4
CIC,Q96RK0
MAPK8IP3,Q9UPT6
CYP46A1,Q9Y6A2
RPS6KA3,P51812
SLIRP,Q9GZT3
TTBK2,Q6IQ55
ELF1,P32519
LAMB3,Q13751
STAG2,Q8N3U4
ENDOG,Q14249
GRAP,Q13588
NR4A2,P43354
SLX4IP,Q5VYV7
TANGO2,Q6ICL3
UTP18,Q9Y5J1
G0S2,P27469
PRPF38A,Q8NAV1
RBMY1A1,P0DJD3
TF,P02787
MAPRE3,Q9UPY8
OR9K2,Q8NGE7
RAB35,Q15286
ZNF229,Q9UJW7
NDUFA13,Q9P0J0
TOPAZ1,Q8N9V7
MUC6,Q6W4X9
SLU7,O95391
OR10A7,Q8NGE5
OR6C74,A6NCV1
INPP5J,Q15735
TBX6,O95947
MYO6,Q9UM54
OR6C6,A6NF89
WBP4,O75554
CYP20A1,Q6UW02
HSD11B1,P28845
ANKAR,Q7Z5J8
EPN1,Q9Y6I3
YEATS2,Q9ULM3
CRYGS,P22914
ZNF180,Q9UJW8
ATP6AP1,Q15904
AGPS,O00116
KIF25,Q9UIL4
SERF1A,O75920
DAB2,P98082
C10orf128,Q5T292
DSCAM,O60469
NME3,Q13232
CHTF8,P0CG13
ZNF177,Q13360
SATB2,Q9UPW6
CERS2,Q96G23
CLPSL2,Q6UWE3
LIMS3L,P0CW20
C9orf114,Q5T280
ZFAND3,Q9H8U3
ANXA4,P09525
AGXT2,Q9BYV1
PLA2G3,Q9NZ20
NFKBIL1,Q9UBC1
CD2AP,Q9Y5K6
SMARCD1,Q96GM5
OR56B1,Q8NGI3
RBM12B,Q8IXT5
OR52N4,Q8NGI2
KRT39,Q6A163
OR52N5,Q8NH56
OR52N1,Q8NH53
JAG1,P78504
ANKRD13D,Q6ZTN6
OR52N2,Q8NGI0
PARD3,Q8TEW0
GAREM,Q9H706
NLRP9,Q7RTR0
APTX,Q7Z2E3
C20orf187,Q9UGB4
RBM12B-AS1,Q9P1G2
DYDC2,Q96IM9
NCAM1,P13591
C4orf32,Q8N8J7
SPAG5,Q96R06
RFPL4A,A6NLU0
PIGG,Q5H8A4
CLIC4,Q9Y696
IGSF23,A1L1A6
RFPL4AL1,F8VTS6
TCAIM,Q8N3R3
CLPSL1,A2RUU4
EGLN2,Q96KS0
OR52E6,Q96RD3
RNF185,Q96GF1
YPEL3,P61236
SLC35G1,Q2M3R5
OR52E8,Q6IFG1
TBCCD1,Q9NVR7
PSMA1,P25786
HMHB1,O97980
C7orf60,Q1RMZ1
OR52E4,Q8NGH9
YJEFN3,A6XGL0
KBTBD6,Q86V97
OR56A3,Q8NH54
LIPJ,Q5W064
MRPS34,P82930
MEP1B,Q16820
ALMS1,Q8TCU4
PELP1,Q8IZL8
KBTBD7,Q8WVZ9
IL18,Q14116
BCCIP,Q9P287
BTBD3,Q9Y2F9
AP1AR,Q63HQ0
GPR85,P60893
FLOT1,O75955
BACE2,Q9Y5Z0
TRIM36,Q9NQ86
EME2,A4GXA9
LRRC34,Q8IZ02
KLHL14,Q9P2G3
FRMD1,Q8N878
SMAD5,Q99717
TEX12,Q9BXU0
CNKSR2,Q8WXI2
DPP10,Q8N608
KIAA1549,Q9HCM3
NT5C,Q8TCD5
GCM1,Q9NP62
IL17RE,Q8NFR9
YIPF5,Q969M3
C3orf30,Q96M34
UNK,Q9C0B0
KRT40,Q6A162
ZNF266,Q14584
KRTAP3-3,Q9BYR6
OR6C1,Q96RD1
PVR,P15151
MARCH8,Q5T0T0
KRTAP3-2,Q9BYR7
C15orf61,A6NNL5
CCBL1,Q16773
MTRF1,O75570
KRTAP3-1,Q9BYR8
ANXA9,O76027
NLRP11,P59045
PCSK1,P29120
KRTAP1-5,Q9BYS1
KRTAP1-4,P0C5Y4
RGPD6,Q99666
TRAF3IP3,Q9Y228
HGS,O14964
TCF15,Q12870
KRTAP1-3,Q8IUG1
C19orf68,Q86XI8
KRTAP1-1,Q07627
KLHL34,Q8N239
OR6C3,Q9NZP0
KRTAP2-1,Q9BYU5
OR52L1,Q8NGH7
SSH3,Q8TE77
SRXN1,Q9BYN0
OR6C75,A6NL08
OR56A4,Q8NGH8
HSPA4,P34932
KRTAP2-3,P0C7H8
OR6C65,A6NJZ3
OR56A1,Q8NGH5
OR6C76,A6NM76
ZNF114,Q8NC26
SCRT2,Q9NQ03
OR56B4,Q8NH76
OR6C2,Q9NZP2
TIFA,Q96CG3
SMPX,Q9UHP9
ANK1,P16157
OR6C70,A6NIJ9
IKZF3,Q9UKT9
OR52B2,Q96RD2
OR52W1,Q6IF63
OR6C68,A6NDL8
OR6C4,Q8NGE1
EPHB6,O15197
C11orf42,Q8N5U0
C1orf74,Q96LT6
ITGA6,P23229
NME9,Q86XW9
DACT2,Q5SW24
SP100,P23497
SLC52A3,Q9NQ40
KANSL3,Q9P2N6
LRRC8A,Q8IWT6
XAGE1D,Q9HD64
TTC12,Q9H892
IL37,Q9NZH6
OR2AP1,Q8NGE2
BTBD9,Q96Q07
KRTAP2-4,Q9BYR9
KDM2B,Q8NHM5
GDPD3,Q7L5L3
OR10P1,Q8NGE3
WDR17,Q8IZU2
ELOVL5,Q9NYP7
FAM110A,Q9BQ89
PNKD,Q8N490
LIMK2,P53671
MBTPS2,O43462
UBR1,Q8IWV7
SPSB3,Q6PJ21
FAM134C,Q86VR2
TMEM67,Q5HYA8
POLD4,Q9HCU8
YY2,O15391
BCO2,Q9BYV7
IRF6,O14896
UBE2D4,Q9Y2X8
METTL7B,Q6UX53
PPRC1,Q5VV67
MUC2,Q02817
FAM3B,P58499
CACNA2D2,Q9NY47
ZNF560,Q96MR9
STAU1,O95793
NAV3,Q8IVL0
SPATA4,Q8NEY3
GRAPL,Q8TC17
DNAJA1,P31689
SLC4A2,P04920
CLCF1,Q9UBD9
ANGPT4,Q9Y264
LIPF,P07098
ZNF426,Q9BUY5
ZCCHC11,Q5TAX3
FAM160A2,Q8N612
RSPO4,Q2I0M5
LRRC20,Q8TCA0
ASB5,Q8WWX0
OSTM1,Q86WC4
DIEXF,Q68CQ4
LPL,P06858
CCDC178,Q5BJE1
CHURC1,Q8WUH1
TUBGCP2,Q9BSJ2
ZNF121,P58317
GLTPD1,Q5TA50
PIK3IP1,Q96FE7
CAP2,P40123
CILP2,Q8IUL8
SMOC2,Q9H3U7
RPP30,P78346
ALPK1,Q96QP1
TMEM214,Q6NUQ4
RBMS2,Q15434
AP2B1,P63010
MYL6B,P14649
MEMO1,Q9Y316
KCTD16,Q68DU8
MX2,P20592
PTS,Q03393
KIAA0391,O15091
SPCS3,P61009
FNDC4,Q9H6D8
GCN1L1,Q92616
GPX7,Q96SL4
PHYHD1,Q5SRE7
ZNF676,Q8N7Q3
XAGE1E,Q9HD64
PBX4,Q9BYU1
EML1,O00423
CEACAM19,Q7Z692
C10orf71,Q711Q0
TAF6,P49848
RAD9A,Q99638
NUBP2,Q9Y5Y2
FAM159A,Q6UWV7
PTTG1,O95997
PLET1,Q6UQ28
GOLPH3,Q9H4A6
PSMF1,Q92530
MAP2K5,Q13163
KRTAP4-11,Q9BYQ6
SMN1,Q16637
IL36G,Q9NZH8
LPAR2,Q9HBW0
KRTAP4-12,Q9BQ66
MAP6D1,Q9H9H5
VEGFC,P49767
PATZ1,Q9HBE1
MAP3K8,P41279
THAP6,Q8TBB0
CCDC47,Q96A33
COA7,Q96BR5
SMU1,Q2TAY7
SYT14,Q8NB59
SPDYE1,Q8NFV5
ASXL3,Q9C0F0
SMS,P52788
TAS1R3,Q7RTX0
NAA16,Q6N069
RAPGEF6,Q8TEU7
SRPRB,Q9Y5M8
PDIA4,P13667
FAM117A,Q9C073
CNGA4,Q8IV77
TMEM74B,Q9NUR3
GK5,Q6ZS86
LINC00998,A4D0T7
FAM63A,Q8N5J2
DOLK,Q9UPQ8
C4orf26,Q17RF5
EIF4EBP2,Q13542
SMIM20,Q8N5G0
DUSP6,Q16828
C20orf202,A1L168
THBS2,P35442
CEACAM16,Q2WEN9
NODAL,Q96S42
DHX32,Q7L7V1
NOP10,Q9NPE3
SYNGAP1,Q96PV0
ABI1,Q8IZP0
EPB42,P16452
ABI2,Q9NYB9
STRADB,Q9C0K7
FNTB,P49356
IGFALS,P35858
DNAI2,Q9GZS0
NR2E1,Q9Y466
TAF8,Q7Z7C8
PLCE1,Q9P212
CARD8,Q9Y2G2
ZFAND4,Q86XD8
SERTAD4,Q9NUC0
CDKL2,Q92772
B4GALT1,P15291
RAD21L1,Q9H4I0
PALD1,Q9ULE6
NUTM1,Q86Y26
CA10,Q9NS85
UPK1B,O75841
ZYG11B,Q9C0D3
